year,share16,share17,n16_wt,n17_wt
2024,0.9716787057746381,0.948989313941388,4547956.0,4483786.0
2005,0.9647341996266695,0.9276719958766996,4212353.0,4064705.0
2006,0.962345232204515,0.9269889805710193,4401594.0,4210926.0
2007,0.9629078273289633,0.9266337732880074,4357604.0,4359540.0
2008,0.9676507986606365,0.9338479689544666,4302641.0,4348967.0
2009,0.9682715733394003,0.9388403470632443,4219560.0,4265966.0
2010,0.9710195698073768,0.943949769623532,4318949.0,4309902.0
2011,0.9743616619897938,0.9463390243161591,4216849.0,4279870.0
2012,0.9757072578102921,0.9518891948624829,4168282.0,4179373.0
2013,0.9744110361470945,0.949962129069919,4137096.0,4145660.0
2014,0.9732667429513993,0.9513396861621299,4146745.0,4150487.0
2015,0.9718360459782367,0.952440840459053,4203032.0,4159346.0
2016,0.97172882441363,0.9537041969015942,4272302.0,4149037.0
2017,0.9746290125877075,0.9498740190533717,4249066.0,4211748.0
2018,0.9736866739420396,0.9491919521256313,4123500.0,4198823.0
2019,0.9736319475216083,0.9512917002738338,4120858.0,4092629.0
2005,0.9647341996266695,0.9276719958766996,4212353.0,4064705.0
2006,0.962345232204515,0.9269889805710193,4401594.0,4210926.0
2007,0.9629078273289633,0.9266337732880074,4357604.0,4359540.0
2021,0.9669082092813016,0.9494210797098174,4346093.0,4270277.0
2022,0.9696946105516536,0.9484197221661378,4277358.0,4284215.0
2023,0.9718961381650484,0.9501765485058146,4461273.0,4380949.0
