year,earn_year,spec,n,coef,se,ci_lo,ci_hi,adj_col,wk_col
2024,2024,bivariate,162478,0.09980626868796522,0.0009529336014334428,0.09793851882915566,0.10167401854677477,ADJINC,WKWN
2024,2024,controls,162478,0.09229429523511286,0.0009293953310291869,0.09047268038629565,0.09411591008393007,ADJINC,WKWN
2005,2005,bivariate,2206,0.14156601068381922,0.019608386902866932,0.10313357235420004,0.1799984490134384,ADJUST,WKW
2005,2005,controls,2206,0.13044598108570957,0.01934587380472217,0.09252806842845411,0.168363893742965,ADJUST,WKW
2006,2006,bivariate,2311,0.1448011166266866,0.01780503697863497,0.10990324414856206,0.17969898910481114,ADJUST,WKW
2006,2006,controls,2311,0.12713991085182813,0.017689067743331087,0.09246933807489921,0.16181048362875705,ADJUST,WKW
2007,2007,bivariate,2225,0.15768558747432157,0.019521610416521,0.11942323105794042,0.19594794389070272,ADJUST,WKW
2007,2007,controls,2225,0.14023210273301523,0.018925096996267994,0.10313891262032995,0.1773252928457005,ADJUST,WKW
2008,2008,bivariate,177360,0.11784697496650814,0.0008466175272553859,0.1161876046130876,0.1195063453199287,ADJINC,WKW
2008,2008,controls,177360,0.11152241079138178,0.0008165570169914972,0.10992195903807844,0.11312286254468512,ADJINC,WKW
2009,2009,bivariate,172142,0.12404110456756501,0.0008979849766756919,0.12228105401328065,0.12580115512184936,ADJINC,WKW
2009,2009,controls,172142,0.1174303700458358,0.0008704188755980256,0.11572434904966367,0.11913639104200793,ADJINC,WKW
2010,2010,bivariate,168179,0.12481946107464377,0.0008558200460194708,0.12314205378444561,0.12649686836484192,ADJINC,WKW
2010,2010,controls,168179,0.11850471655682053,0.0008338539808750495,0.11687036275430543,0.12013907035933563,ADJINC,WKW
2011,2011,bivariate,161156,0.1258067461231845,0.0009754945118988686,0.12389477687986271,0.12771871536650628,ADJINC,WKW
2011,2011,controls,161156,0.11899975646371838,0.000948182949505962,0.1171413178826867,0.12085819504475007,ADJINC,WKW
2012,2012,bivariate,160876,0.12691644768811455,0.0009339118611860642,0.12508598044018987,0.12874691493603924,ADJINC,WKW
2012,2012,controls,160876,0.1199515747726074,0.0009128670221918597,0.11816235540911135,0.12174079413610345,ADJINC,WKW
2013,2013,bivariate,160596,0.12249635081145994,0.000928722166377297,0.12067605536536044,0.12431664625755945,ADJINC,WKW
2013,2013,controls,160596,0.11551798851564574,0.0009021190007005178,0.11374983527427272,0.11728614175701875,ADJINC,WKW
2014,2014,bivariate,155205,0.12228159784331713,0.0009349166116451388,0.12044916128449266,0.1241140344021416,ADJINC,WKW
2014,2014,controls,155205,0.11532978853967447,0.0009138554318755141,0.11353863189319846,0.11712094518615049,ADJINC,WKW
2015,2015,bivariate,154144,0.12034886371142277,0.0009309218908188718,0.11852425680541778,0.12217347061742775,ADJINC,WKW
2015,2015,controls,154144,0.1130151608168345,0.0009025318534092388,0.1112461983841524,0.11478412324951662,ADJINC,WKW
2016,2016,bivariate,153430,0.11920790899171974,0.0009246411832153145,0.11739561227261772,0.12102020571082175,ADJINC,WKW
2016,2016,controls,153430,0.111989313109972,0.0008959073389006759,0.11023333472572668,0.11374529149421732,ADJINC,WKW
2017,2017,bivariate,155107,0.11857081965939614,0.0009604225118867826,0.11668839153609804,0.12045324778269424,ADJINC,WKW
2017,2017,controls,155107,0.11038957208580777,0.0009358588915363503,0.10855528865839652,0.11222385551321902,ADJINC,WKW
2018,2018,bivariate,154759,0.11486734881488692,0.0009333819396698572,0.113037920213134,0.11669677741663984,ADJINC,WKW
2018,2018,controls,154759,0.10728225419429227,0.00090767915700253,0.10550320304656731,0.10906130534201723,ADJINC,WKW
2019,2019,bivariate,153525,0.11069446505769877,0.0009609809478206443,0.1088109423999703,0.11257798771542724,ADJINC,WKWN
2019,2019,controls,153525,0.10235988070874226,0.0009380098193074357,0.10052138146289968,0.10419837995458484,ADJINC,WKWN
2005,2005,bivariate,181686,0.11262167238350021,0.0008697877219625588,0.1109168884484536,0.11432645631854682,ADJUST,WKW
2005,2005,controls,181686,0.10790239264764377,0.000853703845831676,0.10622913310981369,0.10957565218547385,ADJUST,WKW
2006,2006,bivariate,182864,0.11459126685588766,0.0008211839709507758,0.11298174627282415,0.11620078743895118,ADJUST,WKW
2006,2006,controls,182864,0.10885157540272468,0.0007951809468648261,0.10729302074686962,0.11041013005857973,ADJUST,WKW
2007,2007,bivariate,180298,0.11688629967115313,0.0008319345241408237,0.11525570800383712,0.11851689133846914,ADJUST,WKW
2007,2007,controls,180298,0.11139978002997754,0.0008064709440699514,0.10981909697960043,0.11298046308035464,ADJUST,WKW
2021,2021,bivariate,149845,0.10052219063632406,0.000984466319655078,0.09859263664980011,0.102451744622848,ADJINC,WKWN
2021,2021,controls,149845,0.0940264200957499,0.0009628179825779238,0.09213929684989716,0.09591354334160263,ADJINC,WKWN
2022,2022,bivariate,157820,0.10106915950468823,0.0009342497864161862,0.0992380299233125,0.10290028908606395,ADJINC,WKWN
2022,2022,controls,157820,0.09439377874894561,0.0009109765704331148,0.09260826467089671,0.09617929282699451,ADJINC,WKWN
2023,2023,bivariate,160384,0.10041231746763915,0.0009938149486565155,0.09846444016827238,0.10236019476700592,ADJINC,WKWN
2023,2023,controls,160384,0.09370817961096603,0.0009726998125703097,0.09180168797832822,0.09561467124360384,ADJINC,WKWN
