year,rho,rho_biv,coll_share,s_logodds,D_index
1980,0.06325,,0.2344457966246749,-1.1833756036861043,-1.0568756036861042
2005,0.1079023926476437,0.1126216723835002,0.3003459219389519,-0.8456511551927796,-0.6298463698974921
2006,0.1088515754027246,0.1145912668558876,0.30383011818476485,-0.8291249901723551,-0.6114218393669059
2007,0.1113997800299775,0.1168862996711531,0.30731431443057783,-0.8127052907832213,-0.5899057307232662
2008,0.1115224107913817,0.1178469749665081,0.3107985106763908,-0.7963888390183903,-0.5733440174356269
2009,0.1174303700458358,0.124041104567565,0.3150149000532072,-0.7767771466600033,-0.5419164065683317
2010,0.1185047165568205,0.1248194610746437,0.3192312894300236,-0.7573067311039361,-0.5202972979902951
2011,0.1189997564637183,0.1258067461231845,0.32344767880684,-0.7379724195242914,-0.4999729065968548
2012,0.1199515747726074,0.1269164476881145,0.32897273328943794,-0.7128349022872116,-0.4729317527419968
2013,0.1155179885156457,0.1224963508114599,0.33449778777203587,-0.6879116959789672,-0.45687571894767576
2014,0.1153297885396744,0.1222815978433171,0.3400228422546338,-0.6631924264894438,-0.43253284941009496
2015,0.1130151608168345,0.1203488637114227,0.34579437874235236,-0.6375773903235938,-0.41154706868992486
2016,0.111989313109972,0.1192079089917197,0.35156591523007086,-0.6121631367665592,-0.3881845105466152
2017,0.1103895720858077,0.1185708196593961,0.3573374517177894,-0.5869391999814235,-0.36616005580980815
2018,0.1072822541942922,0.1148673488148869,0.36244829245935173,-0.5647535609820165,-0.350189052593432
2019,0.1023598807087422,0.1106944650576987,0.367559133200914,-0.5427025126264011,-0.33798275120891674
2021,0.0940264200957499,0.100522190636324,0.3904189612612851,-0.44555147729340905,-0.25749863710190923
2022,0.0943937787489456,0.1010691595046882,0.3938899886188685,-0.4309898529197268,-0.2422022954218356
2023,0.093708179610966,0.1004123174676391,0.3973610159764518,-0.416473090027845,-0.229056730805913
2024,0.0922942952351128,0.0998062686879652,0.4038503903650131,-0.3894471699451138,-0.2048585794748882
