Package Version
AER 1.2-17
BH 1.90.0-1
BMisc 1.4.9
BayesFactor 0.9.12-4.8
BiocManager 1.30.27
DBI 1.3.0
DRDID 1.3.0
Deriv 4.3.0
ECOSolveR 0.6.1
Formula 1.2-6
GGally 2.4.0
GPArotation 2026.8-1
GlobalOptions 0.1.4
MatrixModels 0.5-4
Qtools 1.6.0
R6 2.6.1
RColorBrewer 1.1-3
RCurl 1.98-1.19
Rcpp 1.1.2
RcppArmadillo 15.4.2-1
RcppEigen 0.3.4.0.2
Rdpack 2.6.6
S7 0.2.2
SparseM 1.84-2
Synth 1.1-10
abind 1.4-8
afex 1.5-1
askpass 1.2.1
assertthat 0.2.1
backports 1.5.1
base64enc 0.1-6
bayestestR 0.18.1
bdsmatrix 1.3-7
beeswarm 0.4.0
bigmemory 4.6.6
bigmemory.sri 0.1.8
binsreg 2.1
bit 4.6.0
bit64 4.8.2
bitops 1.1-0
blob 1.3.0
bookdown 0.47
brew 1.0-10
brio 1.1.5
broom 1.0.13
bslib 0.12.0
cachem 1.1.0
callr 3.8.0
car 3.1-5
carData 3.0-6
cellranger 1.1.0
checkmate 2.3.4
circlize 0.4.18
cli 3.6.6
clipr 0.8.1
coda 0.19-4.1
collapse 2.1.7
colorspace 2.1-3
commonmark 2.0.0
conflicted 1.2.0
conquer 1.3.3
contfrac 1.1-12
corpcor 1.6.10
corrplot 0.95
cowplot 1.2.0
cpp11 0.5.5
crayon 1.5.3
credentials 2.0.3
crs 0.15-45
cubature 2.1.4-1
curl 7.1.0
data.table 1.18.4
datawizard 1.3.1
dbplyr 2.6.0
deSolve 1.42
desc 1.4.3
devtools 2.5.2
did 2.5.1
diffobj 0.3.8
digest 0.6.39
doBy 4.7.2
doFuture 1.3.0
doParallel 1.0.17
doRNG 1.8.6.3
doSNOW 1.0.20
downlit 0.4.5
dplyr 1.2.1
dreamerr 1.5.0
dtplyr 1.3.3
effects 4.2-5
ellipsis 0.3.3
elliptic 1.5-1
estimability 2.0.0
estimatr 1.0.6
evaluate 1.0.5
fansi 1.0.7
farver 2.1.2
fastDummies 1.7.6
fastglm 0.1.1
fastmap 1.2.0
fect 2.4.5
fixest 0.14.2
fontawesome 0.5.3
forcats 1.0.1
foreach 1.5.2
forecast 9.0.2
fracdiff 1.5-4
fs 2.1.0
future 1.75.0
future.apply 1.20.2
gargle 1.6.1
generics 0.1.4
gert 2.4.0
ggplot2 4.0.3
ggpubr 1.0.0
ggrepel 0.9.8
ggsci 5.2.0
ggsignif 0.6.4
ggstats 0.13.0
gh 1.6.1
gitcreds 0.1.2
glmx 0.2-3
globals 0.19.1
glue 1.8.1
googledrive 2.1.2
googlesheets4 1.1.2
gridExtra 2.3.1
gsynth 1.4.0
gtable 0.3.6
gtools 3.9.5
haven 2.5.5
highr 0.12
highs 1.14.0-2
hms 1.1.4
htmltools 0.5.9
htmlwidgets 1.6.4
httpuv 1.6.17
httr 1.4.8
httr2 1.3.0
hypergeo 1.2-14
ids 1.0.1
ini 0.3.1
insight 1.5.2
isoband 0.3.0
iterators 1.0.14
ivreg 0.6-8
jpeg 0.1-11
jquerylib 0.1.4
jsonlite 2.0.0
kableExtra 1.4.1
kernlab 0.9-33
knitr 1.51
labeling 0.4.3
later 1.4.8
lifecycle 1.0.5
listenv 1.0.0
lme4 2.0-6
lmerTest 3.2-1
lmtest 0.9-40
lpirfs 0.2.5
lubridate 1.9.5
magrittr 2.0.5
matrixStats 1.5.0
maxLik 1.5-2.2
memoise 2.0.1
mime 0.13
miniUI 0.1.2
minqa 1.2.8
miscTools 0.6-30
mitools 2.4
mnormt 2.1.2
modelr 0.1.11
modelsummary 2.6.0
mvtnorm 1.4-2
nloptr 2.2.1
np 0.70-5
numDeriv 2016.8-1.1
openssl 2.4.2
optimx 2025-4.9
osqp 1.0.0
otel 0.2.0
pak 0.11.1
panelView 1.3.1
papaja 0.1.5
parallelly 1.48.0
parameters 0.29.2
